"PROD_DTL_ID","COMMON_PRODUCT_NUM","PROD_DTL_NAME"
1458,"901348","MINI PRETZEL"
1461,"901351","OSF PNUT BTR PRZ"
1462,"901352","PNUT BUTTER NUGGET"
1463,"901353","OSF SODO SNACK"
1464,"901354","OLD SF DILL & CHIVE"
1466,"901356","HMUSTARD PIECES"
1468,"901358","T.K.SWEETIE KAKE 848"
1471,"901361","T.K.PNUT CR BAR 256"
1472,"901362","T.K.PNUT CR BAR 256"
1473,"901363","T.K.CHOC CREAM (215)"
1474,"901364","T.K.FP KR KUP 819"
1475,"901365","T.K.FP KR KUP 819"
1478,"901368","T.K.FP CR CH CUP 822"
1480,"000437","T.K.FP PB KAKE 821"
1481,"901370","T.K.FP BUTR KRIMP (8"
1484,"901373","T.K.CR BUTR CUP 824"
1486,"901375","T.K.WITCH TREAT (209"
1487,"901376","T.K.WITCH TREAT (209"
1489,"901378","T.K.BUNNY TRAIL (131"
1490,"901379","T.K.KRING KAKE (1220"
1491,"901380","T.K.NP SPARKLE KAKE"
1493,"901382","T.K.GHOST GOOD (211)"
1494,"901383","T.K.CHOC KRIMPET"
1496,"901385","T.K.KREEPY KAKE 839"
1498,"901387","T.K.FUDGE 354"
1499,"901388","T.K.CHOC CHIP 356"
1501,"901390","T.K.SUG MINI DONUT(1"
1502,"901391","T.K.PREM FR(8) (1405"
1503,"901392","T.K.ASST CH 12 (1406"
1506,"901395","T.K.GLAZE HOLE (1413"
1507,"901396","T.K.FR APPLE 608"
1508,"901397","T.K.FEATURE 607"
1511,"901400","T.K.CH CR BAR 255"
1514,"901403","T.K.PNUT KANDY(226)"
1515,"901404","T.K.C.F.CH CUP (223)"
1516,"901405","T.K.C.F.KOFF KAKE (2"
1518,"901407","GIANT SLIM JIMS"
1519,"901408","DOODLE O'S"
1521,"901410","ANDY CAP CHEDDAR"
1523,"901412","ANDY CAP CHEDD FRIES"
1524,"901413","ANDY CAPPS HOT FIRES"
1526,"901415","SYRIAN BREAD"
1527,"901416","SYRIAN BREAD"
1528,"901417","TWLV INSYRIAN BREAD"
1530,"901419","MARGARINE"
1532,"901421","GET ORIG CAFF FREE"
1534,"901423","NISSEN PL RYE"
1535,"901424","NISSEN SEED RYE"
1536,"901425","NISSEN PUMP"
1538,"901427","NISSEN SPCD STUFF 15"
1539,"901428","NISSEN SPCD STUFF 15"
1541,"901430","NISSEN CORN 14Z"
1544,"901432","NESQUICK BAR"
1545,"901433","NESTLE CRUNCH"
1546,"901434","BUBBLE GUM STIX"
1550,"901438","SHOCK TARTS"
1551,"901439","TANDEM"
1555,"901443","NESQUIK CHOCOLATE"
1027,"900952","POPPY DINROL"
1028,"900953","PLAIN DINROL"
1030,"900955","BREAD UNKNOWN"
1031,"900956","WHEAT PANINI"
1032,"900957","WHEAT HB / OAT"
1033,"900958","SWEET THREE FT LOAF"
1034,"900959","SOUR LF"
1035,"900960","BREAD UNKNOWN"
1036,"900961","BREAD UNKNOWN"
1037,"900962","BREAD UNKNOWN"
1039,"900964","KAISER POPPY"
1040,"900965","STAR ROL BS"
1041,"900966","LARGE SESAME DIN RL"
1042,"900967","LARGE SESAME DIN RL"
1043,"900968","EV SR CRNCH"
1044,"900969","WHEAT HB PLN"
1045,"900970","BREAD UNKNOWN"
1046,"900971","BREAD UNKNOWN"
1050,"900975","WB SW SES 4.5"
1051,"900976","WB 682 B&S 4"" HAM"
1052,"900977","WB 682 B&S 4"" HAM"
1055,"900980","BREAD UNKNOWN"
1056,"900981","WHEAT UNSL"
1057,"900982","WHITE UNSL"
1058,"900983","DKRYE UNSL"
1062,"900987","BREAD UNKNOWN"
1065,"900990","WHITE STK RL"
1066,"900991","WHI SUB TWELV IN"
1067,"900992","BREAD UNKNOWN"
1068,"900993","LYONS UNSL PLBGL"
1071,"900996","BREAD UNKNOWN"
1073,"900998","BREAD UNKNOWN"
